City,Name,Type,Latitude,Longitude,Description
Kochi,Indo-Portuguese Museum,museum,9.9623143,76.2402724,
Kochi,Old Harbour Hotel,hotel,9.967342,76.2424837,
Kochi,Vasco da Gama Square,attraction,9.9679554,76.2424324,
Kochi,Chack Inn Home Stay,hotel,9.963152,76.2452975,
Kochi,Tag und Nacht,guest_house,9.9586244,76.2390759,
Kochi,Orion,guest_house,9.9633805,76.2426024,
Kochi,The Old Courtyard Hotel,hotel,9.966651,76.2425038,
Kochi,Fort Castle Hotel,hotel,9.9670025,76.2421726,
Kochi,Caza Maria,hotel,9.9586771,76.2595398,
Kochi,Bastian Homestay,guest_house,9.96153,76.24454,
Kochi,Kapithan Inn,guest_house,9.9636238,76.2423474,
Kochi,Costa Gama Homestay,hotel,9.9591478,76.2440784,
Kochi,Leelu Cooking & Home Stay,guest_house,9.964942,76.2415091,
Kochi,Tharavadu Guest House,guest_house,9.9655406,76.241796,
Kochi,Police Museum,museum,9.95596,76.26,
Kochi,White Rose,guest_house,9.9663802,76.2445813,
Kochi,Adam's Old Inn,hotel,9.9662088,76.2427734,
Kochi,Princess Inn,hotel,9.9670562,76.2429463,
Kochi,Elite Hotel,hotel,9.966066,76.242348,
Kochi,Raintree Lodge,hotel,9.9644,76.2416,
Kochi,Toms Old Mansion,hotel,9.9664,76.24235,
Kochi,Hotel Arches,hotel,9.96617,76.24155,
Kochi,Chiramel Residency,hotel,9.96426,76.23988,
Kochi,Bernard Bungalow,hotel,9.9644474,76.2398189,
Kochi,The Poovath Heritage,hotel,9.9644269,76.238549,
Kochi,Anna Maria Residency,guest_house,9.9642762,76.2455403,
Kochi,Ballard Bungalow Heritage Hotel,hotel,9.9679439,76.2462368,
Kochi,Charles Home Stay,guest_house,9.9633034,76.2422114,
Kochi,DAS Residency,guest_house,9.9648128,76.2445623,
Kochi,Daniels Home Stay,guest_house,9.9629339,76.2442312,
Kochi,Delight Home Stay,guest_house,9.9642392,76.2407224,
Kochi,Fort Abode Home Stay,guest_house,9.9640507,76.2433489,
Kochi,Fort House Hotel,hotel,9.9686641,76.2496352,
Kochi,Fort Inn,hotel,9.9684149,76.2483259,
Kochi,Francis Home Stay,guest_house,9.9630033,76.2440278,
Kochi,Geo Maria Home Stay,guest_house,9.9640666,76.2457871,
Kochi,Good Karma Inn,guest_house,9.9629945,76.243943,
Kochi,Green House,guest_house,9.9641066,76.2445866,
Kochi,Harborage Inn,guest_house,9.9629731,76.2445075,
Kochi,Hebron Inn Home Stay,guest_house,9.9638493,76.242501,
Kochi,Hotel Fort Manor,hotel,9.967404,76.2449612,
